ticker,side,contracts,entry_price,entry_ts,exit_price,exit_ts,exit_reason,fees,pnl
KXBTC15M-26AUG011545-45,no,10,95,1785613133,100,1785613515,settlement,0.04,0.46
KXBTC15M-26AUG011630-30,yes,10,96,1785615853,100,1785616204,settlement,0.03,0.37
KXBTC15M-26AUG011715-15,yes,10,96,1785618370,100,1785618912,settlement,0.03,0.37
KXBTC15M-26AUG011830-30,no,10,97,1785623165,100,1785623416,settlement,0.03,0.27
KXBTC15M-26AUG011945-45,yes,10,97,1785627476,100,1785627918,settlement,0.03,0.27
KXBTC15M-26AUG012015-15,yes,10,95,1785629128,100,1785629720,settlement,0.04,0.46
KXBTC15M-26AUG012045-45,no,10,96,1785631151,100,1785631513,settlement,0.03,0.37
KXBTC15M-26AUG012115-15,yes,10,95,1785632773,100,1785633315,settlement,0.04,0.46
KXBTC15M-26AUG012200-00,no,10,95,1785635542,100,1785636014,settlement,0.04,0.46
KXBTC15M-26AUG012215-15,yes,10,97,1785636568,100,1785636910,settlement,0.03,0.27
KXBTC15M-26AUG020015-15,yes,10,95,1785643516,100,1785644109,settlement,0.04,0.46
KXBTC15M-26AUG020100-00,yes,10,97,1785646456,100,1785646808,settlement,0.03,0.27
KXBTC15M-26AUG020115-15,no,10,95,1785647141,100,1785647713,settlement,0.04,0.46
KXBTC15M-26AUG020200-00,yes,10,96,1785650101,100,1785650412,settlement,0.03,0.37
KXBTC15M-26AUG020400-00,no,10,95,1785657213,100,1785657615,settlement,0.04,0.46
KXBTC15M-26AUG020615-15,no,10,96,1785665392,100,1785665713,settlement,0.03,0.37
KXBTC15M-26AUG020630-30,no,10,97,1785666317,100,1785666609,settlement,0.03,0.27
KXBTC15M-26AUG020645-45,yes,10,97,1785667132,100,1785667514,settlement,0.03,0.27
KXBTC15M-26AUG020930-30,no,10,95,1785677084,100,1785677406,settlement,0.04,0.46
KXBTC15M-26AUG020945-45,no,10,97,1785677939,100,1785678311,settlement,0.03,0.27
KXBTC15M-26AUG021015-15,no,10,96,1785679783,100,1785680114,settlement,0.03,0.37
KXBTC15M-26AUG021200-00,no,10,96,1785686130,100,1785686412,settlement,0.03,0.37
KXBTC15M-26AUG021245-45,yes,10,95,1785688659,100,1785689111,settlement,0.04,0.46
KXBTC15M-26AUG021300-00,no,10,95,1785689584,100,1785690016,settlement,0.04,0.46
KXBTC15M-26AUG021600-00,yes,10,96,1785700235,100,1785700817,settlement,0.03,0.37
KXBTC15M-26AUG021700-00,yes,10,95,1785704021,100,1785704413,settlement,0.04,0.46
KXBTC15M-26AUG021715-15,yes,10,96,1785704867,100,1785705309,settlement,0.03,0.37
KXBTC15M-26AUG021845-45,no,10,95,1785710126,100,1785711049,settlement,0.04,0.46
KXBTC15M-26AUG021930-30,yes,10,96,1785712803,100,1785713747,settlement,0.03,0.37
KXBTC15M-26AUG022245-45,yes,10,97,1785724825,100,1785725116,settlement,0.03,0.27
KXBTC15M-26AUG030000-00,no,10,96,1785729188,100,1785729610,settlement,0.03,0.37
KXBTC15M-26AUG030030-30,yes,10,95,1785730981,100,1785731412,settlement,0.04,0.46
KXBTC15M-26AUG030100-00,no,10,95,1785732823,100,1785733215,settlement,0.04,0.46
KXBTC15M-26AUG030430-30,no,10,97,1785745296,100,1785745809,settlement,0.03,0.27
KXBTC15M-26AUG030530-30,yes,10,97,1785748965,100,1785749417,settlement,0.03,0.27
KXBTC15M-26AUG030600-00,yes,10,97,1785750807,100,1785751219,settlement,0.03,0.27
KXBTC15M-26AUG030615-15,no,10,96,1785751784,100,1785752115,settlement,0.03,0.37
KXBTC15M-26AUG030645-45,no,10,96,1785753556,100,1785753907,settlement,0.03,0.37
KXBTC15M-26AUG030700-00,no,10,95,1785754260,0,1785754823,settlement,0.04,-9.54
KXBTC15M-26AUG030715-15,no,10,96,1785755206,100,1785755718,settlement,0.03,0.37
KXBTC15M-26AUG030730-30,yes,10,97,1785756141,100,1785756623,settlement,0.03,0.27
KXBTC15M-26AUG030930-30,yes,10,96,1785763204,0,1785763816,settlement,0.03,-9.63
KXBTC15M-26AUG031700-00,no,10,96,1785790294,100,1785790806,settlement,0.03,0.37
KXBTC15M-26AUG031715-15,no,10,95,1785791320,100,1785791712,settlement,0.04,0.46
KXBTC15M-26AUG031815-15,no,10,95,1785794746,100,1785795308,settlement,0.04,0.46
KXBTC15M-26AUG031900-00,yes,10,95,1785797545,100,1785798017,settlement,0.04,0.46
KXBTC15M-26AUG031945-45,no,10,97,1785800304,100,1785800716,settlement,0.03,0.27
KXBTC15M-26AUG032145-45,yes,10,96,1785807416,100,1785807909,settlement,0.03,0.37
KXBTC15M-26AUG032245-45,yes,10,96,1785811002,100,1785811515,settlement,0.03,0.37
KXBTC15M-26AUG040030-30,yes,10,95,1785817369,100,1785817811,settlement,0.04,0.46
KXBTC15M-26AUG040045-45,yes,10,95,1785818315,100,1785818717,settlement,0.04,0.46
KXBTC15M-26AUG040115-15,no,10,97,1785820148,100,1785820519,settlement,0.03,0.27
KXBTC15M-26AUG040130-30,no,10,97,1785821285,100,1785821405,settlement,0.03,0.27
KXBTC15M-26AUG040200-00,no,10,95,1785822916,100,1785823217,settlement,0.04,0.46
KXBTC15M-26AUG040245-45,no,10,95,1785825634,100,1785825915,settlement,0.04,0.46
KXBTC15M-26AUG040445-45,no,10,95,1785832644,100,1785833106,settlement,0.04,0.46
KXBTC15M-26AUG040515-15,no,10,95,1785834677,100,1785834918,settlement,0.04,0.46
KXBTC15M-26AUG040615-15,no,10,95,1785838180,100,1785838512,settlement,0.04,0.46
KXBTC15M-26AUG040700-00,yes,10,95,1785840678,100,1785841221,settlement,0.04,0.46
KXBTC15M-26AUG040800-00,yes,10,96,1785844423,100,1785844815,settlement,0.03,0.37
KXBTC15M-26AUG040815-15,no,10,97,1785845379,100,1785845720,settlement,0.03,0.27
KXBTC15M-26AUG041000-00,no,10,95,1785851522,100,1785852014,settlement,0.04,0.46
KXBTC15M-26AUG041215-15,no,10,96,1785859712,100,1785860114,settlement,0.03,0.37
KXBTC15M-26AUG041315-15,yes,10,96,1785863238,100,1785863711,settlement,0.03,0.37
KXBTC15M-26AUG041400-00,no,10,95,1785865827,100,1785866410,settlement,0.04,0.46
KXBTC15M-26AUG041415-15,yes,10,96,1785866732,100,1785867315,settlement,0.03,0.37
KXBTC15M-26AUG041430-30,yes,10,95,1785867677,100,1785868220,settlement,0.04,0.46
KXBTC15M-26AUG041445-45,no,10,97,1785868754,100,1785869116,settlement,0.03,0.27
KXBTC15M-26AUG041530-30,no,10,97,1785871463,100,1785871815,settlement,0.03,0.27
KXBTC15M-26AUG041615-15,no,10,95,1785874022,100,1785874514,settlement,0.04,0.46
KXBTC15M-26AUG041715-15,no,10,97,1785877921,100,1785878112,settlement,0.03,0.27
KXBTC15M-26AUG041730-30,yes,10,97,1785878706,100,1785879008,settlement,0.03,0.27
KXBTC15M-26AUG041800-00,no,10,96,1785880479,100,1785880811,settlement,0.03,0.37
KXBTC15M-26AUG041930-30,no,10,97,1785885952,100,1785886213,settlement,0.03,0.27
KXBTC15M-26AUG042000-00,no,10,95,1785887624,100,1785888016,settlement,0.04,0.46
KXBTC15M-26AUG042045-45,yes,10,95,1785890113,100,1785890706,settlement,0.04,0.46
KXBTC15M-26AUG042130-30,yes,10,96,1785892963,100,1785893416,settlement,0.03,0.37
KXBTC15M-26AUG042330-30,no,10,97,1785900008,100,1785900611,settlement,0.03,0.27
KXBTC15M-26AUG050015-15,no,10,95,1785903040,100,1785903311,settlement,0.04,0.46
KXBTC15M-26AUG050115-15,yes,10,96,1785906305,100,1785906917,settlement,0.03,0.37
KXBTC15M-26AUG050130-30,yes,10,96,1785907441,100,1785907813,settlement,0.03,0.37
KXBTC15M-26AUG050145-45,no,10,96,1785908216,100,1785908708,settlement,0.03,0.37
KXBTC15M-26AUG050300-00,no,10,95,1785912918,100,1785913219,settlement,0.04,0.46
KXBTC15M-26AUG050330-30,no,10,95,1785914468,100,1785915020,settlement,0.04,0.46
